manager_id:ID,name,title,reward,gender,age,:LABEL
e8cc4392e29172fd35df2e1de9edc56c,赵晓强,独立董事,100000,0,0,manager
2647b6b78d8580427ea0d7b6c0a06db6,史顺民,原董事,16400,M,57,manager
85965836c2bff6bb8128f9769a96e5f1,刘园,独立董事,37500,F,58,manager
8f10b0f1b2500bf1bd2765877e0b1ebb,佟德辉,副总裁,1686100,M,56,manager
240759606e3a3f97debea17b711efae2,杜丹丹,董事,0,0,0,manager
4c2fb9b20a05c0ea7ce3d7d15abc85e1,袁宗琦,独立董事,120000,M,65,manager
a78bd055f3b15f632cf13b8db9c5d329,马可辉,原董事,0,M,47,manager
113dc77a7350a54a686e08bce512963e,宁志和,原监事,445900,0,0,manager
75255fb65c3c73dd872aaa2e6084e1fe,詹文青,财务负责人,143900,M,48,manager
cdc5fd496676bebcbf395763888c20a2,郑继德,原董事,0,M,61,manager
581c87b972e54f74f0785e4d68281fda,王向东,副总经理,1202000,0,0,manager
3e5647d4cffbf39af5d470e3caf4fc0c,曹剑,董事；董事会秘书,0,M,39,manager
9c3b8161ad710752bc1d7938c6f15672,叶雄,副总经理,2136700,0,0,manager
e10c4b37ed86452240dcc6f55b0d9e0e,王江伟,原党委委员；原副总经理,1001400,M,50,manager
b4ef30f5eb883a964076a93047432da3,赵英伟,监事会主席,0,M,49,manager
4fc129e8b280f3c00433a48abc5e5957,余俊仙,独立董事,53300,F,55,manager
4c1c862216b0fcee52509b66eec7eb4c,余政,执行董事,0,M,60,manager
d9c477169f8c148605772b45f8b660c1,王鹏,董事长,1826200,M,63,manager
27f9a5412df053a59c8f881bd8c56187,刘壮青,董事；总经理,463700,0,0,manager
5018d5bca0ed7ce34b8b20d0ff803d6c,邵崇,董事会秘书,887000,0,0,manager
36d6ba3e5e68ba2504190b84a643b380,何文彬,董事；总经理,929700,0,0,manager
41bc7660e0d9b81ae77efd075e7c7b70,曾宪锋,董事,0,M,53,manager
b5d3eb04ce620429c55d10844cfa53d1,唐崇银,原监事,0,M,60,manager
91e02f8ecca09dd5385db2a990e4402e,郭长洲,原董事,0,M,47,manager
596dcd266a456a0ba2ad52f8a08caded,张晓峰,原监事,11200,0,0,manager
4805ca77c3680a69587449a3561c6c44,傅筝,原监事会主席,0,0,0,manager
c3f533c0f72c90d007647bfbde5256cb,孙少军,董事；执行总裁,2370200,M,55,manager
95882f7fcfcc54d1d72a621a472c9d80,徐愈富,董事,247900,M,42,manager
12a78d2ba2564b0a8636bd61529b7907,高靓,董事长,0,0,0,manager
a1d0d977714ac1cfb18ac4939df69ea7,周鹏,总经理助理,2314800,M,42,manager
da484b2fc4ff8bc52dccb78b22ceee33,潘永红,原董事；原首席执行官,4230100,M,51,manager
39f6e9afb10fdf44362b9cc9717a8227,王玉梅,独立董事,60000,0,0,manager
019e760a10c7aa5081303c611c7fba4a,姚日波,董事长,4782900,M,52,manager
16425b6b7acc9b6f98d01825d6f064a0,赵庆国,职工董事；副总经理,469800,M,49,manager
14e87f0401e7f6a81e1a848f544859a9,田贯三,独立董事,0,M,57,manager
bb747011fbcfa75b05a65a8b5d5bb756,王守俊,副总经理,1084900,M,47,manager
5dc5c372d61f6e17136dbdd43b98537c,许晓军,董事,888800,M,52,manager
cecf175e6ace0360793600039b1bd921,陈强,副总裁,1230800,M,55,manager
9770235a392dac114e8250f51805eae1,张博,董事,10479100,M,0,manager
b54e35d5107e872dd1fd60d588127cb9,王成义,原独立董事,25000,M,53,manager
40111afd7fa8fe538e10d89327c9bb01,薛彤,副总裁,0,0,0,manager
c3af6f98628fbf1de264429c50bc974b,张良,董事,0,M,49,manager
54cabb0ded6abb9ae9036c51fc9dec05,关山,董事会秘书,2716956.69,0,0,manager
eee48fe8d3522463f9aa981d4cab01b9,朱曦,董事,0,0,0,manager
edf8ae3c66846a32a6dfcede52b06ee0,王立,董事,0,M,59,manager
10032baa81db4f07fda929ef03192dfe,邓磊,独立董事,68500,M,42,manager
6edc5dc8a2d7a842cf1ba0c33a9f4ecc,陈冰峡,董事会秘书,0,F,47,manager
cebcff358da0cec2d44d5e119ac47ff3,叶见青,副总经理,908900,M,58,manager
5fe21ee0e4930659561f520ea8e8c194,陈翔,副总经理,205000,M,36,manager
9868b03b24e0a8de8686768ee99b3d8e,杜汛,董事会秘书,1241300,0,0,manager
fd8f13f8b0401a14f5422105aa25ebe9,廖俊凯,监事,0,M,32,manager
e9d0a2167afd1d3ef5307cc2a6f21e92,刘波,董事会秘书；董事,93900,M,37,manager
bb531ef65eb91c72853f231274321d0e,杨卫东,原财务总监；原董事；原总经理,420300,M,44,manager
b4ef30f5eb883a964076a93047432da3,赵英伟,监事会主席,0,M,49,manager
26f003619674f54fb8084fcfade838e5,周晓华,原董事,0,M,46,manager
305be7965375e114a6965c245e1ffc9e,张伟,董事,0,M,51,manager
de41181fd833b64e8552025ff9f1c345,杨国彬,监事,0,M,51,manager
81f51596e3c4c5f4d9adfb3a3fd0eca6,赵东,职工代表监事,3437200,M,0,manager
6ec30b612a274aefa4f23a171ed663d0,陈瑜,监事,454400,0,0,manager
9227e4ec55b8e2c143a2774bbf79f1e2,陈丽红,原副总经理,417400,0,0,manager
3ae90104879ebd7bc05709b45fc0a115,韩玉华,原运营总监,1170800,F,53,manager
15095d14367f7f02655030d498a4ba03,李明,副总经理,1358900,M,47,manager
d231e8fb60db3819765b1296e6d72364,郭建,董事,311000,M,56,manager
389e1471f1454bb61396fcb41b5d9659,方榕,董事,0,F,56,manager
927004220eff6c1fd5d9d212e00ebfbe,史晓梅,监事,203200,F,50,manager
33f84c6b6b4ce170f551d8a3873b5c17,余金树,原副总经理,1615600,0,0,manager
faeca8860b118774f6301460b03ed63f,张涛,监事,0,M,46,manager
6f200a3dede724ced83c3c09f5e2dd96,庞大同,独立董事,0,M,75,manager
4889c8a5ee6ef149e82ed0ae579a86c5,于志臣,原副总经理,335300,M,57,manager
08727d9cadbac22a6d1befea5846fbf7,庄起善,独立董事,143000,M,70,manager
aa1475b794aacfb8284d48d2d8e4ca88,江华,独立董事,80000,M,57,manager
7647359e82b6641dab98219362c6bc12,姜福强,副总经理,18400,M,49,manager
0497cc3267a8966896cd2678dc16e0ce,黄文奕,原副总经理,791200,0,0,manager
65641ff4c50767898de3dbfa57b1f947,李志伟,监事,0,M,40,manager
6d1644ada3ab6eea42dec869c4d6e00b,张立民,独立董事,125000,0,0,manager
13b833621c87f95e98ba867c52ab83ff,王平,监事,0,F,46,manager
7ac54be6821e0eb5e04004a8349398e7,曲大军,监事,107000,M,44,manager
8535694385b5db11e284e993ed8fba0e,陈继,原董事会秘书,509200,M,48,manager
8e2a6cedf84ed575f72283be089c4b34,王穗初,原董事,0,M,57,manager
3aa68f6d91bb52fb2522edadf8456069,鲁忠,监事,292500,0,0,manager
b15ea7118501bc3eccf862f9c9e2b1df,王哲,监事,685500,M,48,manager
31067a0af11723700b5aa5a7807b5ed4,王利群,原副总经理,120000,0,0,manager
d35f20998abd5432a3a407af34843480,石民,副总经理,664100,M,52,manager
840db5f8fb4c5c3f4fea23d22638fb70,贺少琨,监事会主席,0,M,40,manager
89ca8ecb630989d1ca96dbde177c23f0,吴君栋,独立非执行董事,0,M,56,manager
efc508da9582cc745a85ce1bf9076cc6,高倚云,独立董事,71400,F,46,manager
fd53bc99eea66bf2a9dca35491741f84,王景然,董事；副经理；董事会秘书,678000,M,36,manager
f9e24260976d63f960021af5f83fbb6b,唐娜,监事,0,F,44,manager
6320f4c2e4bcce9991e37fd21d8f4973,罗成,股东代表监事,72000,M,0,manager
d3435593ec437a952e7c68fb4657b5b9,李江华,监事会主席；职工监事,0,M,43,manager
